,pred_8,pred_13,pred_14,pred_21,pred_26,result_com,date,year,month,day,num_date,range_date,season,right_pred,num_pred,money
205,0.0,0.0,0.0,0.0,0.0,16,2020-05-07,2020,5,7,1,4,sp,0,0,23920.0
206,0.0,0.0,0.0,0.0,0.0,59,2020-05-07,2020,5,7,1,4,sp,0,0,5910.0
207,0.0,0.0,0.0,0.0,0.0,16,2020-05-07,2020,5,7,1,4,sp,0,0,15220.0
208,0.0,0.0,1.0,0.0,0.0,7,2020-05-07,2020,5,7,1,4,sp,0,1,1320.0
209,0.0,0.0,0.0,0.0,0.0,21,2020-05-07,2020,5,7,1,4,sp,0,0,1530.0
210,0.0,0.0,0.0,0.0,0.0,42,2020-05-07,2020,5,7,1,4,sp,0,0,4180.0
211,0.0,0.0,0.0,0.0,0.0,18,2020-05-07,2020,5,7,1,4,sp,0,0,6140.0
212,0.0,0.0,0.0,0.0,0.0,63,2020-05-08,2020,5,8,2,4,sp,0,0,18700.0
213,0.0,0.0,0.0,0.0,0.0,98,2020-05-08,2020,5,8,2,4,sp,0,0,2810.0
214,0.0,0.0,0.0,0.0,0.0,106,2020-05-08,2020,5,8,2,4,sp,0,0,10850.0
215,0.0,0.0,0.0,0.0,0.0,2,2020-05-08,2020,5,8,2,4,sp,0,0,580.0
216,0.0,0.0,0.0,0.0,0.0,32,2020-05-08,2020,5,8,2,4,sp,0,0,2470.0
217,0.0,0.0,0.0,0.0,1.0,84,2020-05-08,2020,5,8,2,4,sp,0,1,8340.0
218,0.0,0.0,0.0,0.0,0.0,5,2020-05-08,2020,5,8,2,4,sp,0,0,580.0
219,0.0,0.0,0.0,0.0,0.0,1,2020-05-08,2020,5,8,2,4,sp,0,0,560.0
220,0.0,1.0,1.0,0.0,0.0,4,2020-05-08,2020,5,8,2,4,sp,0,2,1540.0
221,0.0,0.0,0.0,0.0,0.0,1,2020-05-08,2020,5,8,2,4,sp,0,0,420.0
222,0.0,1.0,0.0,0.0,0.0,6,2020-05-08,2020,5,8,2,4,sp,0,1,1030.0
223,0.0,0.0,0.0,0.0,0.0,62,2020-05-09,2020,5,9,3,4,sp,0,0,28360.0
224,0.0,0.0,0.0,0.0,0.0,7,2020-05-09,2020,5,9,3,4,sp,0,0,1770.0
225,0.0,0.0,0.0,0.0,0.0,105,2020-05-09,2020,5,9,3,4,sp,0,0,13920.0
226,0.0,0.0,0.0,0.0,0.0,3,2020-05-09,2020,5,9,3,4,sp,0,0,1840.0
227,0.0,0.0,0.0,0.0,0.0,2,2020-05-09,2020,5,9,3,4,sp,0,0,800.0
228,0.0,0.0,0.0,0.0,0.0,15,2020-05-09,2020,5,9,3,4,sp,0,0,5410.0
229,0.0,0.0,0.0,1.0,0.0,8,2020-05-09,2020,5,9,3,4,sp,0,1,2400.0
230,0.0,0.0,1.0,0.0,0.0,3,2020-05-09,2020,5,9,3,4,sp,0,1,1020.0
231,0.0,0.0,0.0,0.0,0.0,4,2020-05-10,2020,5,10,4,4,sp,0,0,6020.0
232,0.0,0.0,0.0,0.0,0.0,15,2020-05-10,2020,5,10,4,4,sp,0,0,1590.0
233,0.0,0.0,0.0,0.0,0.0,17,2020-05-10,2020,5,10,4,4,sp,0,0,4520.0
234,0.0,0.0,0.0,0.0,0.0,7,2020-05-10,2020,5,10,4,4,sp,0,0,810.0
235,0.0,0.0,0.0,0.0,0.0,10,2020-05-10,2020,5,10,4,4,sp,0,0,950.0
236,0.0,0.0,0.0,0.0,0.0,3,2020-05-10,2020,5,10,4,4,sp,0,0,3280.0
237,0.0,0.0,0.0,0.0,0.0,10,2020-05-10,2020,5,10,4,4,sp,0,0,2130.0
238,0.0,0.0,0.0,0.0,0.0,49,2020-05-10,2020,5,10,4,4,sp,0,0,2400.0
239,0.0,0.0,0.0,0.0,0.0,14,2020-05-10,2020,5,10,4,4,sp,0,0,3530.0
240,0.0,0.0,0.0,0.0,0.0,11,2020-05-10,2020,5,10,4,4,sp,0,0,4670.0
241,0.0,0.0,1.0,0.0,0.0,81,2020-05-10,2020,5,10,4,4,sp,0,1,17330.0
242,0.0,1.0,1.0,0.0,0.0,2,2020-05-10,2020,5,10,4,4,sp,0,2,710.0
